NodeID,ConnectedNodeID,Distance,Coordinates,Intersection_Name
1031,1030,130,"(1350271.9998387992, 402408.00022539496)","['FITLER ST', 'CHARCOT ST']"
1032,740,235,"(1348510.2500814646, 402385.75026988983)","['SPRING ST', 'BORDER']"
1032,881,206,"(1348510.2500814646, 402385.75026988983)","['SPRING ST', 'BORDER']"
1033,773,205,"(1348892.2499736398, 402171.750369817)","['JONQUIL WAY', 'BORDER']"
1033,926,204,"(1348892.2499736398, 402171.750369817)","['JONQUIL WAY', 'BORDER']"
1034,924,158,"(1345435.4999973923, 402149.500086233)","['GOLDBACH WAY', 'MIDDLE ST']"
1034,937,59,"(1345435.4999973923, 402149.500086233)","['GOLDBACH WAY', 'MIDDLE ST']"
1034,1006,348,"(1345435.4999973923, 402149.500086233)","['GOLDBACH WAY', 'MIDDLE ST']"
1035,742,142,"(1340438.0001498908, 402350.5003403872)","['MONTOOTH ST', 'MICHIGAN ST']"
1035,1025,137,"(1340438.0001498908, 402350.5003403872)","['MONTOOTH ST', 'MICHIGAN ST']"
1035,1036,208,"(1340438.0001498908, 402350.5003403872)","['MONTOOTH ST', 'MICHIGAN ST']"
1036,934,152,"(1340439.750146389, 402142.0001012236)","['BIGGER ST', 'MONTOOTH ST']"
1036,1035,208,"(1340439.750146389, 402142.0001012236)","['BIGGER ST', 'MONTOOTH ST']"
1036,1447,435,"(1340439.750146389, 402142.0001012236)","['BIGGER ST', 'MONTOOTH ST']"
1037,3,186,"(1340085.9998696446, 402141.00010322034)","['TAFT AVE', 'BIGGER ST']"
1037,933,167,"(1340085.9998696446, 402141.00010322034)","['TAFT AVE', 'BIGGER ST']"
1037,1447,562,"(1340085.9998696446, 402141.00010322034)","['TAFT AVE', 'BIGGER ST']"
1038,760,132,"(1344996.2498916388, 402262.4998602271)","['CHALROCK WAY', 'ZARA ST']"
1038,927,244,"(1344996.2498916388, 402262.4998602271)","['CHALROCK WAY', 'ZARA ST']"
1038,929,135,"(1344996.2498916388, 402262.4998602271)","['CHALROCK WAY', 'ZARA ST']"
1038,1039,308,"(1344996.2498916388, 402262.4998602271)","['CHALROCK WAY', 'ZARA ST']"
1039,0,135,"(1344687.9998519719, 402259.4998662323)","['KNOX AVE', 'ZARA ST']"
1039,288,132,"(1344687.9998519719, 402259.4998662323)","['KNOX AVE', 'ZARA ST']"
1039,930,688,"(1344687.9998519719, 402259.4998662323)","['KNOX AVE', 'ZARA ST']"
1039,1038,308,"(1344687.9998519719, 402259.4998662323)","['KNOX AVE', 'ZARA ST']"
1040,657,139,"(1342853.7499115616, 402209.2499667257)","['BELTZHOOVER AVE', 'ZELDA WAY']"
1040,931,272,"(1342853.7499115616, 402209.2499667257)","['BELTZHOOVER AVE', 'ZELDA WAY']"
1040,1440,112,"(1342853.7499115616, 402209.2499667257)","['BELTZHOOVER AVE', 'ZELDA WAY']"
1041,53,196,"(1349449.4998433888, 402099.2498586476)","['JONQUIL WAY', 'ELEANOR ST']"
1041,771,52,"(1349449.4998433888, 402099.2498586476)","['JONQUIL WAY', 'ELEANOR ST']"
1041,961,171,"(1349449.4998433888, 402099.2498586476)","['JONQUIL WAY', 'ELEANOR ST']"
1042,775,277,"(1349755.2498880476, 401772.2501845658)","['EMIL WAY', 'WIESE ST']"
