NodeID,ConnectedNodeID,Distance,Coordinates,Intersection_Name
1101,1103,355,"(1344275.2500213087, 401581.9999088943)","['HAWK WAY', 'ROMEYN ST']"
1101,1120,124,"(1344275.2500213087, 401581.9999088943)","['HAWK WAY', 'ROMEYN ST']"
1101,1123,133,"(1344275.2500213087, 401581.9999088943)","['HAWK WAY', 'ROMEYN ST']"
1102,932,1127,"(1344007.2499011308, 401712.25030456483)","['GRIMES AVE', 'BAUSMAN ST']"
1102,1020,135,"(1344007.2499011308, 401712.25030456483)","['GRIMES AVE', 'BAUSMAN ST']"
1102,1100,134,"(1344007.2499011308, 401712.25030456483)","['GRIMES AVE', 'BAUSMAN ST']"
1102,1123,266,"(1344007.2499011308, 401712.25030456483)","['GRIMES AVE', 'BAUSMAN ST']"
1103,1047,98,"(1344630.4999669641, 401575.75024947524)","['HAWK WAY', 'MATHEWS AVE']"
1103,1101,355,"(1344630.4999669641, 401575.75024947524)","['HAWK WAY', 'MATHEWS AVE']"
1103,1297,63,"(1344630.4999669641, 401575.75024947524)","['HAWK WAY', 'MATHEWS AVE']"
1104,1105,1141,"(1347120.749907717, 401565.7502694726)","['PARKWOOD RD', 'OTTILLIA ST', 'PENN AVE']"
1104,1106,1515,"(1347120.749907717, 401565.7502694726)","['PARKWOOD RD', 'OTTILLIA ST', 'PENN AVE']"
1104,1139,235,"(1347120.749907717, 401565.7502694726)","['PARKWOOD RD', 'OTTILLIA ST', 'PENN AVE']"
1105,1014,271,"(1348254.7499362975, 401551.0002989769)","['MOUNTAIN AVE', 'PARKWOOD RD']"
1105,1104,1141,"(1348254.7499362975, 401551.0002989769)","['MOUNTAIN AVE', 'PARKWOOD RD']"
1105,1151,656,"(1348254.7499362975, 401551.0002989769)","['MOUNTAIN AVE', 'PARKWOOD RD']"
1105,1379,780,"(1348254.7499362975, 401551.0002989769)","['MOUNTAIN AVE', 'PARKWOOD RD']"
1106,99,162,"(1345605.249985978, 401548.2503044754)","['PENN AVE', 'SCHOOL WAY']"
1106,1052,248,"(1345605.249985978, 401548.2503044754)","['PENN AVE', 'SCHOOL WAY']"
1106,1104,1515,"(1345605.249985978, 401548.2503044754)","['PENN AVE', 'SCHOOL WAY']"
1106,1253,239,"(1345605.249985978, 401548.2503044754)","['PENN AVE', 'SCHOOL WAY']"
1107,1065,165,"(1344914.5000551343, 401439.2498663068)","['GRAPE ST', 'MATHEWS AVE']"
1107,1108,423,"(1344914.5000551343, 401439.2498663068)","['GRAPE ST', 'MATHEWS AVE']"
1107,1118,224,"(1344914.5000551343, 401439.2498663068)","['GRAPE ST', 'MATHEWS AVE']"
1107,1152,135,"(1344914.5000551343, 401439.2498663068)","['GRAPE ST', 'MATHEWS AVE']"
1108,1046,47,"(1344700.2501555532, 401074.4999396503)","['KNOX AVE', 'GRAPE ST']"
1108,1107,423,"(1344700.2501555532, 401074.4999396503)","['KNOX AVE', 'GRAPE ST']"
1108,1154,211,"(1344700.2501555532, 401074.4999396503)","['KNOX AVE', 'GRAPE ST']"
1109,1110,570,"(1345839.7498450577, 401053.49998164177)","['ORMSBY AVE', 'ANTHONY ST']"
1109,1111,38,"(1345839.7498450577, 401053.49998164177)","['ORMSBY AVE', 'ANTHONY ST']"
1109,1189,263,"(1345839.7498450577, 401053.49998164177)","['ORMSBY AVE', 'ANTHONY ST']"
