NodeID,ConnectedNodeID,Distance,Coordinates,Intersection_Name
25,90,362,"(1361003.250029847, 410800.9998435974)","['SQUIRREL HILL AVE', 'ALBEMARLE AVE']"
26,53,1370,"(1355942.4999807775, 409304.7498833388)","['JUNO ST', 'BOUNDARY ST']"
26,91,432,"(1355942.4999807775, 409304.7498833388)","['JUNO ST', 'BOUNDARY ST']"
27,25,637,"(1360408.7502346039, 410570.49997650087)","['ALBEMARLE AVE', 'FORBES AVE']"
27,28,317,"(1360408.7502346039, 410570.49997650087)","['ALBEMARLE AVE', 'FORBES AVE']"
27,40,370,"(1360408.7502346039, 410570.49997650087)","['ALBEMARLE AVE', 'FORBES AVE']"
28,23,45,"(1360230.7502625287, 410833.7501061708)","['FORBES AVE', 'BORDER']"
28,27,317,"(1360230.7502625287, 410833.7501061708)","['FORBES AVE', 'BORDER']"
29,15,259,"(1359677.0003857613, 411656.5001011044)","['MARGARET MORRISON ST', 'FORBES AVE']"
29,24,352,"(1359677.0003857613, 411656.5001011044)","['MARGARET MORRISON ST', 'FORBES AVE']"
29,46,308,"(1359677.0003857613, 411656.5001011044)","['MARGARET MORRISON ST', 'FORBES AVE']"
30,31,436,"(1360628.6861464232, 411759.59832008183)","['SQUIRREL HILL AVE', 'BORDER']"
31,10,558,"(1360670.0000401884, 411656.00010208786)","['SQUIRREL HILL AVE', 'MAYNARD ST']"
31,30,436,"(1360670.0000401884, 411656.00010208786)","['SQUIRREL HILL AVE', 'MAYNARD ST']"
31,92,337,"(1360670.0000401884, 411656.00010208786)","['SQUIRREL HILL AVE', 'MAYNARD ST']"
32,19,93,"(1358384.7500175089, 410879.2500151694)","['TECH ST', 'FREW ST']"
32,33,503,"(1358384.7500175089, 410879.2500151694)","['TECH ST', 'FREW ST']"
32,34,1414,"(1358384.7500175089, 410879.2500151694)","['TECH ST', 'FREW ST']"
32,93,417,"(1358384.7500175089, 410879.2500151694)","['TECH ST', 'FREW ST']"
33,32,503,"(1358565.9999830872, 411348.000390023)","['TECH ST', 'MARGARET MORRISON ST']"
33,75,380,"(1358565.9999830872, 411348.000390023)","['TECH ST', 'MARGARET MORRISON ST']"
33,77,385,"(1358565.9999830872, 411348.000390023)","['TECH ST', 'MARGARET MORRISON ST']"
34,4,411,"(1357033.8547534198, 411292.816773355)","['FREW ST', 'HAMERSCHLAG DR']"
34,32,1414,"(1357033.8547534198, 411292.816773355)","['FREW ST', 'HAMERSCHLAG DR']"
34,76,1978,"(1357033.8547534198, 411292.816773355)","['FREW ST', 'HAMERSCHLAG DR']"
35,51,46,"(1355968.999927774, 410710.00035367906)","['YARROW ST', 'BOUNDARY ST']"
35,53,199,"(1355968.999927774, 410710.00035367906)","['YARROW ST', 'BOUNDARY ST']"
35,88,128,"(1355968.999927774, 410710.00035367906)","['YARROW ST', 'BOUNDARY ST']"
36,37,250,"(1360765.2501777709, 410035.50006227195)","['FORBES AVE', 'AYLESBORO AVE']"
36,40,272,"(1360765.2501777709, 410035.50006227195)","['FORBES AVE', 'AYLESBORO AVE']"
36,94,806,"(1360765.2501777709, 410035.50006227195)","['FORBES AVE', 'AYLESBORO AVE']"
37,36,250,"(1360889.0005864203, 409818.49984009564)","['FORBES AVE', 'SCHENLEY DR']"
37,38,263,"(1360889.0005864203, 409818.49984009564)","['FORBES AVE', 'SCHENLEY DR']"
37,95,656,"(1360889.0005864203, 409818.49984009564)","['FORBES AVE', 'SCHENLEY DR']"
38,19,2624,"(1360626.2501276731, 409826.50015217066)","['SCHENLEY DR', 'DARLINGTON RD']"
38,37,263,"(1360626.2501276731, 409826.50015217066)","['SCHENLEY DR', 'DARLINGTON RD']"
38,43,252,"(1360626.2501276731, 409826.50015217066)","['SCHENLEY DR', 'DARLINGTON RD']"
39,17,283,"(1359729.9999516755, 410471.0001755357)","['NORTHUMBERLAND ST', 'SCHENLEY RD']"
39,40,923,"(1359729.9999516755, 410471.0001755357)","['NORTHUMBERLAND ST', 'SCHENLEY RD']"
39,42,120,"(1359729.9999516755, 410471.0001755357)","['NORTHUMBERLAND ST', 'SCHENLEY RD']"
40,27,370,"(1360615.7504767627, 410262.99993535876)","['FORBES AVE', 'NORTHUMBERLAND ST']"
40,36,272,"(1360615.7504767627, 410262.99993535876)","['FORBES AVE', 'NORTHUMBERLAND ST']"
40,39,923,"(1360615.7504767627, 410262.99993535876)","['FORBES AVE', 'NORTHUMBERLAND ST']"
40,90,556,"(1360615.7504767627, 410262.99993535876)","['FORBES AVE', 'NORTHUMBERLAND ST']"
41,12,937,"(1357207.2500759363, 410290.4998803586)","['FRANK CURTO DR', 'SCHENLEY DR', 'PANTHER HOLLOW RD']"
41,18,942,"(1357207.2500759363, 410290.4998803586)","['FRANK CURTO DR', 'SCHENLEY DR', 'PANTHER HOLLOW RD']"
41,60,400,"(1357207.2500759363, 410290.4998803586)","['FRANK CURTO DR', 'SCHENLEY DR', 'PANTHER HOLLOW RD']"
42,5,88,"(1359765.249881193, 410586.2499449998)","['SCHENLEY RD', 'BORDER']"
42,39,120,"(1359765.249881193, 410586.2499449998)","['SCHENLEY RD', 'BORDER']"
42,96,175,"(1359765.249881193, 410586.2499449998)","['SCHENLEY RD', 'BORDER']"
43,38,252,"(1360651.7500766814, 409576.4999960065)","['DARLINGTON RD', 'DARLINGTON CT']"
43,72,518,"(1360651.7500766814, 409576.4999960065)","['DARLINGTON RD', 'DARLINGTON CT']"
43,97,273,"(1360651.7500766814, 409576.4999960065)","['DARLINGTON RD', 'DARLINGTON CT']"
44,45,234,"(1355933.7499982566, 410935.7499021739)","['JONCAIRE ST', 'ISIS WAY']"
44,48,422,"(1355933.7499982566, 410935.7499021739)","['JONCAIRE ST', 'ISIS WAY']"
44,49,142,"(1355933.7499982566, 410935.7499021739)","['JONCAIRE ST', 'ISIS WAY']"
45,44,234,"(1356167.249859348, 410921.4999306798)","['JONCAIRE ST', 'BOUNDARY ST']"
